Country Name,"Country Code","2007 [YR2007] - Population growth (annual %) [SP.POP.GROW]","2007 [YR2007] - GDP (current US$) [NY.GDP.MKTP.CD]"
Afghanistan,"AFG","1.79319572747206","9747886104.53251"
Albania,"ALB","-0.75571875541991","10677324852.8822"
Algeria,"DZA","1.62790867702938","134977082623.78"
Andorra,"AND","-2.59249693414403","3952395030.09698"
Angola,"AGO","3.63958930439587","65266415706.9741"
Antigua and Barbuda,"ATG","1.37623327243605","1312759259.25926"
Argentina,"ARG","1.00629733064648","287530508430.568"
Armenia,"ARM","-0.732665962263764","9206301269.79164"
Australia,"AUS","1.82499679529254","855007458585.224"
Austria,"AUT","0.324146535285463","389185571506.052"
Azerbaijan,"AZE","1.13385546615645","33049419431.2244"
"Bahamas, The","BHS","1.40838277430791","10618340000"
Bahrain,"BHR","6.91804991621101","21730000000"
Bangladesh,"BGD","1.05111719423699","79611888213.148"
Barbados,"BRB","0.376106107267713","4674000000"
Belarus,"BLR","-0.458847535622636","45275711995.825"
Belgium,"BEL","0.734330830765919","470922156309.453"
Belize,"BLZ","2.88259288843","1699214298.91439"
Benin,"BEN","2.87555724136521","8169048382.83875"
Bhutan,"BTN","1.23319303054383","1168307584.21345"
Bolivia,"BOL","1.75023288737608","13120108008.3477"
Bosnia and Herzegovina,"BIH","-1.24500087046096","15778734264.3787"
Botswana,"BWA","1.96495716378833","10567270655.5027"
Brazil,"BRA","1.03202723327326","1397114486471.38"
Brunei Darussalam,"BRN","1.58075344729259","12247677993.9248"
Bulgaria,"BGR","-0.735282283991309","44432811756.4731"
Burkina Faso,"BFA","3.03278641140169","7625722836.76847"
Burundi,"BDI","3.67179220330916","1356199387.42308"
Cabo Verde,"CPV","1.16559727886391","1649621738.63689"
Cambodia,"KHM","1.74325561857738","8639235912.59077"
Cameroon,"CMR","2.78067096838021","23928250433.0378"
Canada,"CAN","0.971135141368055","1468820407783.26"
Central African Republic,"CAF","1.8735897550277","1699811294.94935"
Chad,"TCD","3.38718987073326","8650137743.32547"
Chile,"CHL","0.980589313160657","172491075948.358"
China,"CHN","0.522271866392275","3550327803024.69"
Colombia,"COL","1.23996744251378","206229540893.231"
Comoros,"COM","2.00423062675791","795673153.183373"
"Congo, Dem. Rep.","COD","3.21553799022491","16737071816.38"
"Congo, Rep.","COG","3.68155876257458","8782703436.70188"
Costa Rica,"CRI","1.40273700394929","26884700344.8406"
Cote d'Ivoire,"CIV","2.16087988372223","28760090924.4659"
Croatia,"HRV","-0.0218526602655707","59319172946.6829"
Cuba,"CUB","0.0821729969258322","54262870370.3704"
Cyprus,"CYP","1.73158929128947","23968764029.5647"
Czechia,"CZE","0.583542205385113","190183800884.018"
Denmark,"DNK","0.443466054321374","319423424509.066"
Djibouti,"DJI","2.13179519553233","847918929.107984"
Dominica,"DMA","0.0479940671094341","421374074.074074"
Dominican Republic,"DOM","1.2633758696885","43965458508.5056"
